,country,year,nightlight
0,Pakistan,1992,4.333372676540615
1,Pakistan,1993,4.3188440742717304
2,Pakistan,1994,4.3889123396256275
3,Pakistan,1995,4.496202145338918
4,Pakistan,1996,4.468319438332881
5,Pakistan,1997,4.601138807254536
6,Pakistan,1998,4.671877574170343
7,Pakistan,1999,4.717137709344283
8,Pakistan,2000,4.466169392923439
9,Pakistan,2001,4.540469007337289
10,Pakistan,2002,4.590406288811876
11,Pakistan,2003,4.510444619731503
12,Pakistan,2004,4.575479519515743
13,Pakistan,2005,4.543740141996416
14,Pakistan,2006,4.741325690947455
15,Pakistan,2007,4.896403290330332
16,Pakistan,2008,4.851537290478331
17,Pakistan,2009,5.510340071336126
18,Pakistan,2010,5.095810969036183
19,Pakistan,2011,4.892913350914777
20,Pakistan,2012,5.261411047479487
21,Pakistan,2013,5.360752309905217
22,Nepal,1992,3.531331164925448
23,Nepal,1993,3.4621437106918536
24,Nepal,1994,3.3639899046137653
25,Nepal,1995,3.552232430491385
26,Nepal,1996,3.59734934878336
27,Nepal,1997,3.528104889854481
28,Nepal,1998,3.6322824577886834
29,Nepal,1999,3.668030459131445
30,Nepal,2000,3.560036649652703
31,Nepal,2001,3.5854848837308224
32,Nepal,2002,3.5257453890066768
33,Nepal,2003,3.5705032599159
34,Nepal,2004,3.6981314936678182
35,Nepal,2005,3.5073957213492575
36,Nepal,2006,3.9523838811075462
37,Nepal,2007,3.992417546125639
38,Nepal,2008,4.125864516546032
39,Nepal,2009,4.8760266961165835
40,Nepal,2010,3.9409252889543946
41,Nepal,2011,4.028866681916761
42,Nepal,2012,4.576628970803568
43,Nepal,2013,4.537767112896056
44,Sri Lanka,1992,4.047883751908394
45,Sri Lanka,1993,4.022293367098456
46,Sri Lanka,1994,4.473121685986105
47,Sri Lanka,1995,4.300600388757714
48,Sri Lanka,1996,4.360652564993732
49,Sri Lanka,1997,4.399518546866499
50,Sri Lanka,1998,4.5170838039258845
51,Sri Lanka,1999,4.867859684669808
52,Sri Lanka,2000,4.449266297161851
53,Sri Lanka,2001,4.430494496175688
54,Sri Lanka,2002,4.272050644103795
55,Sri Lanka,2003,4.509850060345375
56,Sri Lanka,2004,4.5026843622721495
57,Sri Lanka,2005,4.438502412290878
58,Sri Lanka,2006,4.610569573572238
59,Sri Lanka,2007,4.791997972192285
60,Sri Lanka,2008,4.882896969642814
61,Sri Lanka,2009,5.449756286891084
62,Sri Lanka,2010,5.328035035729952
63,Sri Lanka,2011,4.8705002604009895
64,Sri Lanka,2012,5.391463543147257
65,Sri Lanka,2013,5.266915325574135
66,India,1992,2.9905953068697353
67,India,1993,2.953497015447842
68,India,1994,3.1007190251308576
69,India,1995,3.1644301831146167
70,India,1996,3.220887545057014
71,India,1997,3.1915027530621165
72,India,1998,3.285412011197042
73,India,1999,3.472279228330173
74,India,2000,3.320885431497822
75,India,2001,3.4365900386744523
76,India,2002,3.3656472999153957
77,India,2003,3.3439956592817732
78,India,2004,3.363335584947281
79,India,2005,3.2648246881390315
80,India,2006,3.436247607845464
81,India,2007,3.582788335587664
82,India,2008,3.7339998649996233
83,India,2009,4.20631854409768
84,India,2010,3.897687362005172
85,India,2011,3.779204541547292
86,India,2012,4.1580501379609744
87,India,2013,4.235561909100194
88,Bhutan,1992,3.941007738818669
89,Bhutan,1993,3.5549817496332627
90,Bhutan,1994,3.911089085317518
91,Bhutan,1995,3.9546865581603394
92,Bhutan,1996,3.8315084765864094
93,Bhutan,1997,3.8114130090987137
94,Bhutan,1998,3.8908231671488807
95,Bhutan,1999,4.3682009892938405
96,Bhutan,2000,4.179012800070634
97,Bhutan,2001,4.136648420956074
98,Bhutan,2002,3.916742039648988
99,Bhutan,2003,3.803336614458432
100,Bhutan,2004,3.6192560415158326
101,Bhutan,2005,3.691878488665115
102,Bhutan,2006,3.966916367903697
103,Bhutan,2007,3.88478781083259
104,Bhutan,2008,3.8890684981318002
105,Bhutan,2009,4.581168587477634
106,Bhutan,2010,3.97594066815445
107,Bhutan,2011,4.019824054259595
108,Bhutan,2012,4.5343471159068205
109,Bhutan,2013,4.229287582947985
110,Bangladesh,1992,4.379252917526021
111,Bangladesh,1993,4.252737382016613
112,Bangladesh,1994,4.525596792042138
113,Bangladesh,1995,4.7426712936493045
114,Bangladesh,1996,4.346321888768851
115,Bangladesh,1997,4.509315856436217
116,Bangladesh,1998,4.333139483061981
117,Bangladesh,1999,4.557222346338843
118,Bangladesh,2000,4.31100754876537
119,Bangladesh,2001,4.360543959719039
120,Bangladesh,2002,4.389671212616773
121,Bangladesh,2003,4.374728816637632
122,Bangladesh,2004,4.258415983499141
123,Bangladesh,2005,4.3601872862942415
124,Bangladesh,2006,4.484712604508643
125,Bangladesh,2007,4.402450240966295
126,Bangladesh,2008,4.621709374233805
127,Bangladesh,2009,5.076833203286504
128,Bangladesh,2010,4.824675035736888
129,Bangladesh,2011,4.76010504155628
130,Bangladesh,2012,5.187550772433633
131,Bangladesh,2013,5.5087167959297405
